frame,total_detections,per_class
1,1,{'person': 1}
2,1,{'person': 1}
3,1,{'person': 1}
4,1,{'person': 1}
5,1,{'person': 1}
6,1,{'person': 1}
7,2,{'person': 2}
8,1,{'person': 1}
9,1,{'person': 1}
10,1,{'person': 1}
11,2,"{'person': 1, 'chair': 1}"
12,2,"{'person': 1, 'chair': 1}"
13,2,"{'person': 1, 'chair': 1}"
14,2,"{'person': 1, 'chair': 1}"
15,2,"{'person': 1, 'chair': 1}"
16,2,"{'person': 1, 'chair': 1}"
17,1,{'person': 1}
18,0,{}
19,2,"{'person': 1, 'tie': 1}"
20,1,{'person': 1}
21,2,"{'vase': 1, 'person': 1}"
22,2,"{'person': 1, 'wine glass': 1}"
23,2,"{'person': 1, 'tie': 1}"
24,2,"{'person': 1, 'tie': 1}"
25,3,"{'person': 1, 'tie': 1, 'bed': 1}"
26,2,"{'tie': 1, 'person': 1}"
27,2,"{'person': 1, 'tie': 1}"
28,2,"{'person': 1, 'tie': 1}"
29,2,"{'person': 1, 'tie': 1}"
30,2,"{'tie': 1, 'person': 1}"
31,2,"{'person': 1, 'tie': 1}"
32,3,"{'tie': 1, 'person': 1, 'bed': 1}"
33,3,"{'tie': 1, 'person': 1, 'bed': 1}"
34,3,"{'tie': 1, 'person': 1, 'bed': 1}"
35,3,"{'tie': 1, 'person': 1, 'bed': 1}"
36,3,"{'tie': 1, 'person': 1, 'bed': 1}"
37,3,"{'tie': 1, 'person': 1, 'bed': 1}"
38,3,"{'tie': 1, 'person': 1, 'bed': 1}"
39,3,"{'tie': 1, 'person': 1, 'bed': 1}"
40,3,"{'tie': 1, 'person': 1, 'bed': 1}"
41,3,"{'person': 1, 'tie': 1, 'bed': 1}"
42,3,"{'tie': 1, 'person': 1, 'bed': 1}"
43,3,"{'tie': 1, 'person': 1, 'bed': 1}"
44,3,"{'tie': 1, 'person': 1, 'bed': 1}"
45,3,"{'tie': 1, 'person': 1, 'bed': 1}"
46,2,"{'tie': 1, 'person': 1}"
47,2,"{'tie': 1, 'person': 1}"
48,2,"{'tie': 1, 'person': 1}"
49,2,"{'tie': 1, 'person': 1}"
50,2,"{'tie': 1, 'person': 1}"
51,2,"{'tie': 1, 'person': 1}"
52,2,"{'tie': 1, 'person': 1}"
53,2,"{'tie': 1, 'person': 1}"
54,2,"{'tie': 1, 'person': 1}"
55,2,"{'tie': 1, 'person': 1}"
56,2,"{'tie': 1, 'person': 1}"
57,2,"{'tie': 1, 'person': 1}"
58,2,"{'tie': 1, 'person': 1}"
59,2,"{'tie': 1, 'person': 1}"
60,2,"{'tie': 1, 'person': 1}"
61,2,"{'tie': 1, 'person': 1}"
62,2,"{'tie': 1, 'person': 1}"
63,2,"{'tie': 1, 'person': 1}"
64,2,"{'tie': 1, 'person': 1}"
65,2,"{'tie': 1, 'person': 1}"
66,2,"{'tie': 1, 'person': 1}"
67,2,"{'tie': 1, 'person': 1}"
68,2,"{'tie': 1, 'person': 1}"
69,2,"{'tie': 1, 'person': 1}"
70,2,"{'tie': 1, 'person': 1}"
71,2,"{'tie': 1, 'person': 1}"
72,2,"{'tie': 1, 'person': 1}"
73,2,"{'tie': 1, 'person': 1}"
74,2,"{'tie': 1, 'person': 1}"
75,2,"{'tie': 1, 'person': 1}"
76,2,"{'tie': 1, 'person': 1}"
77,2,"{'tie': 1, 'person': 1}"
78,2,"{'tie': 1, 'person': 1}"
79,2,"{'tie': 1, 'person': 1}"
80,2,"{'tie': 1, 'person': 1}"
81,2,"{'tie': 1, 'person': 1}"
82,2,"{'tie': 1, 'person': 1}"
83,2,"{'tie': 1, 'person': 1}"
84,2,"{'tie': 1, 'person': 1}"
85,2,"{'tie': 1, 'person': 1}"
86,2,"{'tie': 1, 'person': 1}"
87,2,"{'tie': 1, 'person': 1}"
88,2,"{'tie': 1, 'person': 1}"
89,2,"{'tie': 1, 'person': 1}"
90,2,"{'tie': 1, 'person': 1}"
91,2,"{'tie': 1, 'person': 1}"
92,2,"{'tie': 1, 'person': 1}"
93,2,"{'tie': 1, 'person': 1}"
94,2,"{'tie': 1, 'person': 1}"
95,2,"{'tie': 1, 'person': 1}"
96,2,"{'tie': 1, 'person': 1}"
97,2,"{'tie': 1, 'person': 1}"
98,2,"{'tie': 1, 'person': 1}"
99,2,"{'tie': 1, 'person': 1}"
100,2,"{'tie': 1, 'person': 1}"
101,2,"{'tie': 1, 'person': 1}"
102,2,"{'tie': 1, 'person': 1}"
103,2,"{'tie': 1, 'person': 1}"
104,3,"{'tie': 1, 'person': 1, 'bed': 1}"
105,3,"{'tie': 1, 'person': 1, 'bed': 1}"
106,2,"{'tie': 1, 'person': 1}"
107,2,"{'tie': 1, 'person': 1}"
108,2,"{'tie': 1, 'person': 1}"
109,2,"{'tie': 1, 'person': 1}"
110,2,"{'tie': 1, 'person': 1}"
111,2,"{'tie': 1, 'person': 1}"
112,2,"{'tie': 1, 'person': 1}"
113,2,"{'tie': 1, 'person': 1}"
114,2,"{'tie': 1, 'person': 1}"
115,2,"{'tie': 1, 'person': 1}"
116,2,"{'tie': 1, 'person': 1}"
117,2,"{'tie': 1, 'person': 1}"
118,2,"{'tie': 1, 'person': 1}"
119,2,"{'tie': 1, 'person': 1}"
120,2,"{'tie': 1, 'person': 1}"
121,2,"{'tie': 1, 'person': 1}"
122,2,"{'tie': 1, 'person': 1}"
123,2,"{'tie': 1, 'person': 1}"
124,2,"{'tie': 1, 'person': 1}"
125,2,"{'tie': 1, 'person': 1}"
126,2,"{'tie': 1, 'person': 1}"
